sample,reads_in,reads_removed_proportion,reads_out
SRR14117833,6473635,0.86135,897596
SRR14117812,6865577,0.97290,186050
SRR14117783,7175396,0.96115,278790
SRR14117816,10588175,0.95830,441552
SRR14117762,11671494,0.01242,11526566
SRR14117766,15649921,0.00843,15518032
SRR14117810,11313673,0.00478,11259552
SRR14117814,9376885,0.18729,7620664
SRR14117760,12105486,0.00662,12025398
SRR14117764,8305692,0.00619,8254300
SRR14117799,13276360,0.00476,13213226
SRR14117768,9459967,0.97979,191155
SRR14117793,584071,0.57598,247659
SRR14117797,932386,0.91965,74917
SRR14117820,13158461,0.92757,953040
SRR14117791,355083,0.11844,313026
SRR14117824,4984353,0.92304,383586
SRR14117770,13118999,0.01542,12916746
SRR14117795,741578,0.90811,68145
SRR14117828,4943528,0.48734,2534363
SRR14117774,8557456,0.01084,8464706
SRR14117778,964635,0.09794,870155
SRR14117822,10913118,0.98050,212761
SRR14117801,11733692,0.00687,11653095
SRR14117826,10751597,0.97538,264694
SRR14117772,7685053,0.00725,7629307
SRR14117805,11823732,0.98943,124944
SRR14117776,12826644,0.96110,498965
SRR14117809,11118952,0.00770,11033337
SRR14117755,8283431,0.55143,3715703
SRR14117759,13730888,0.01262,13557543
SRR14117803,11884476,0.00824,11786509
SRR14117807,12718904,0.03928,12219307
SRR14117753,8677270,0.00634,8622241
SRR14117757,8842339,0.95471,400445
SRR14117832,13427710,0.98986,136219
SRR14117836,10176743,0.97375,267136
SRR14117782,773493,0.05342,732170
SRR14117786,496013,0.38884,303141
SRR14117830,11210663,0.99095,101491
SRR14117834,8742323,0.97201,244671
SRR14117780,491733,0.78593,105264
SRR14117813,9945933,0.93581,638410
SRR14117784,1030442,0.65380,356736
SRR14117817,11497320,0.88369,1337263
SRR14117788,812397,0.90102,80410
SRR14117767,12225039,0.03909,11747120
SRR14117811,11267115,0.98701,146389
SRR14117815,11927108,0.98826,140010
SRR14117761,11927217,0.00695,11844338
SRR14117819,4491697,0.97117,129478
SRR14117765,13243692,0.00554,13170335
SRR14117769,10137347,0.18348,8277316
SRR14117794,9924892,0.93410,654030
SRR14117763,11196672,0.00528,11137595
SRR14117798,770028,0.99581,3223
SRR14117792,1104168,0.00317,1100669
SRR14117825,11332069,0.92159,888504
SRR14117796,812109,0.83180,136600
SRR14117829,155336,0.33230,103718
SRR14117775,12460087,0.00559,12390486
SRR14117779,538782,0.13758,464654
SRR14117790,773483,0.08925,704451
SRR14117823,12079400,0.95307,566855
SRR14117827,10473703,0.97578,253720
SRR14117773,14801682,0.00589,14714439
SRR14117777,933978,0.75240,231252
SRR14117821,12498368,0.98759,155131
SRR14117800,8775078,0.00710,8712774
SRR14117771,8922866,0.00488,8879343
SRR14117804,9937643,0.68556,3124839
SRR14117808,11974355,0.03833,11515329
SRR14117754,13496236,0.00778,13391169
SRR14117758,7466181,0.00619,7420002
SRR14117802,13885423,0.00802,13773993
SRR14117837,11368467,0.98834,132607
SRR14117806,9649360,0.00586,9592823
SRR14117752,12408004,0.00529,12342304
SRR14117787,823767,0.58990,337823
SRR14117756,20265422,0.00405,20183327
SRR14117831,10229428,0.86565,1374302
SRR14117835,1876946,0.95841,78058
SRR14117781,740907,0.34126,488063
SRR14117785,806794,0.91647,67392
SRR14117818,489102,0.43710,275315
SRR14117789,632715,0.20828,500932
