sample,reads_in,reads_removed_proportion,reads_out
S30,12612117,0.00601,12536278
S55,532702,0.39305,323322
S36,8771780,0.00554,8723150
S86,11328525,0.78460,2440205
HSV-24,628768,0.54559,285720
S34,12187184,0.01128,12049756
HSV-32,1013865,0.86615,135707
HSV-11,379024,0.10917,337646
S62,5402238,0.84342,845894
HSV-29,810217,0.85216,119779
S67,5246212,0.45498,2859294
S47,8904912,0.00986,8817121
S01,13824562,0.00432,13764882
AH-PS-003,1016078,0.09391,920655
S59,12447967,0.83835,2012174
S63,12716387,0.79549,2600674
S44,8131655,0.00644,8079319
S81,14349478,0.84219,2264505
S18,11627101,0.00699,11545802
S57,15056570,0.79069,3151541
S29,14293329,0.01145,14129632
S42,13738565,0.01435,13541370
S11,12447032,0.00744,12354484
S15,13235505,0.03694,12746614
S22,9147773,0.00567,9095860
S85,10339240,0.78984,2172850
S07,12220146,0.00625,12143823
S91,11705427,0.82469,2052049
S84,13294084,0.85768,1891998
AH-PS-021,529968,0.36908,334367
S24,8785623,0.51460,4264579
S73,12526929,0.86990,1629785
S79,9648482,0.86824,1271304
AH-PS-006,533868,0.73820,139766
AH-PS-018,1112707,0.61701,426155
S54,12819979,0.77605,2871014
AH-PS-039,880321,0.85386,128646
S75,15351371,0.84302,2409897
S49,12215962,0.90030,1217881
AH-PS-016,812875,0.05170,770848
S52,13629709,0.84387,2128020
S31,12413095,0.00621,12336013
S56,4837673,0.89470,509409
S37,13833007,0.00492,13764965
S41,10576550,0.17523,8723237
S51,11197625,0.81317,2092020
S35,11682554,0.00478,11626766
HSV-8,839365,0.93663,53189
S40,12821730,0.03641,12354904
HSV-16,1163054,0.00272,1159895
HSV-31,887306,0.78033,194911
S70,195402,0.24800,146943
AH-PS-004,573814,0.12877,499925
AH-PS-051,818898,0.08380,750273
S60,13766107,0.81559,2538631
S83,11087468,0.82119,1982496
S66,11775496,0.85080,1756913
S46,15397710,0.00536,15315214
AH-PS-001,1008950,0.71258,289994
S58,14078200,0.85750,2006156
S04,9158671,0.00635,9100509
S90,12810699,0.79702,2600284
S43,9223260,0.00442,9182477
S13,10469741,0.64696,3696211
S48,13025555,0.00501,12960270
S17,12529407,0.03597,12078691
S23,14085933,0.00702,13987040
S28,7743365,0.00561,7699928
S08,14516343,0.00721,14411743
S14,10094949,0.00524,10042006
S21,13016751,0.00478,12954484
S25,21234521,0.00364,21157139
S74,11367219,0.76337,2689863
S80,2011478,0.88779,225705
AH-PS-011,788531,0.32469,532501
